GL,Br,Statutory_GL,Statutory_Type,Transaction_Type,Headers
114100,NULL,411-02,Asset,XINV,NULL
114100,NULL,411-02,Asset,XOIP,NULL
114100,NULL,411-02,Asset,XOIR,NULL
114100,NULL,411-02,Asset,XPMT,NULL
1209,NULL,921-06,Expense,JOE,NULL
1209,NULL,921-06,Expense,RRD,NULL
1209,NULL,921-06,Expense,YEND,NULL
1210,NULL,921-06,Expense,JOE,NULL
1210,NULL,921-06,Expense,RRD,NULL
1210,NULL,921-06,Expense,YEND,NULL
1211,NULL,921-06,Expense,JOE,NULL
1211,NULL,921-06,Expense,RRD,NULL
1211,NULL,921-06,Expense,YEND,NULL
1212,NULL,654,Expense,CADJ,NULL
1212,NULL,654,Expense,CLH,NULL
1212,NULL,654,Expense,IV,NULL
1212,NULL,654,Expense,JOV,NULL
1212,NULL,654,Expense,OUPA,NULL
1212,NULL,654,Expense,RDCS,NULL
1212,NULL,654,Expense,XOIP,NULL
1212,NULL,654,Expense,XOIR,NULL
1212,NULL,921-06,Expense,JOE,NULL
1212,NULL,921-06,Expense,RRD,NULL
1212,NULL,921-06,Expense,YEND,NULL
1214,NULL,921-06,Expense,JOE,NULL
1214,NULL,921-06,Expense,RRD,NULL
1214,NULL,921-06,Expense,YEND,NULL
1215,NULL,921-06,Expense,JOE,NULL
1215,NULL,921-06,Expense,RRD,NULL
1215,NULL,921-06,Expense,YEND,NULL
1216,NULL,921-06,Expense,JOE,NULL
1216,NULL,921-06,Expense,RRD,NULL
1216,NULL,921-06,Expense,YEND,NULL
1320,NULL,441,Liability,B2BT,NULL
1320,NULL,441,Liability,CADJ,NULL
1320,NULL,441,Liability,CLH,NULL
1320,NULL,441,Liability,IV,NULL
1320,NULL,441,Liability,JOE,NULL
1320,NULL,441,Liability,JOV,NULL
1320,NULL,441,Liability,OUPA,NULL
1320,NULL,441,Liability,PMT,NULL
1320,NULL,441,Liability,RDCS,NULL
1320,NULL,441,Liability,RRD,NULL
1320,NULL,441,Liability,XOIP,NULL
1320,NULL,441,Liability,XOIR,NULL
1320,NULL,441,Liability,YEND,NULL
139000,NULL,332,Asset,JOE,NULL
139000,NULL,332,Asset,RRD,NULL
139000,NULL,332,Asset,YEND,NULL
139001,NULL,332,Asset,JOE,NULL
139001,NULL,332,Asset,RRD,NULL
139001,NULL,332,Asset,YEND,NULL
139002,NULL,332,Asset,JOE,NULL
139002,NULL,332,Asset,RRD,NULL
139002,NULL,332,Asset,YEND,NULL
1500,NULL,471,Asset,B2BT,NULL
1500,NULL,471,Asset,CADJ,NULL
1500,NULL,471,Asset,CLH,NULL
1500,NULL,471,Asset,DEP,NULL
1500,NULL,471,Asset,IV,NULL
1500,NULL,471,Asset,JOE,NULL
1500,NULL,471,Asset,JOV,NULL
1500,NULL,471,Asset,OUPA,NULL
1500,NULL,471,Asset,PMT,NULL
1500,NULL,471,Asset,RCR,NULL
1500,NULL,471,Asset,RDCS,NULL
1500,NULL,471,Asset,RIN,NULL
1500,NULL,471,Asset,RRD,NULL
1500,NULL,471,Asset,XOIP,NULL
1500,NULL,471,Asset,XOIR,NULL
1500,NULL,471,Asset,XPMT,NULL
1500,NULL,471,Asset,XRCR,NULL
1500,NULL,471,Asset,XRIN,NULL
1500,NULL,471,Asset,YEND,NULL
1550,NULL,267,Asset,CADJ,NULL
1550,NULL,267,Asset,CLH,NULL
1550,NULL,267,Asset,DEP,NULL
1550,NULL,267,Asset,IV,NULL
1550,NULL,267,Asset,JOE,NULL
1550,NULL,267,Asset,JOV,NULL
1550,NULL,267,Asset,OUPA,NULL
1550,NULL,267,Asset,RCR,NULL
1550,NULL,267,Asset,RDCS,NULL
1550,NULL,267,Asset,RIN,NULL
1550,NULL,267,Asset,RRD,NULL
1550,NULL,267,Asset,XOIP,NULL
1550,NULL,267,Asset,XOIR,NULL
1550,NULL,267,Asset,XRCR,NULL
1550,NULL,267,Asset,XRIN,NULL
1550,NULL,267,Asset,YEND,NULL
1601,NULL,214,Asset,CADJ,NULL
1601,NULL,214,Asset,CLH,NULL
1601,NULL,214,Asset,IV,NULL
1601,NULL,214,Asset,JOE,NULL
1601,NULL,214,Asset,JOV,NULL
1601,NULL,214,Asset,OUPA,NULL
1601,NULL,214,Asset,RCR,NULL
1601,NULL,214,Asset,RDCS,NULL
1601,NULL,214,Asset,RIN,NULL
1601,NULL,214,Asset,RRD,NULL
1601,NULL,214,Asset,XOIP,NULL
1601,NULL,214,Asset,XOIR,NULL
1601,NULL,214,Asset,XRCR,NULL
1601,NULL,214,Asset,XRIN,NULL
1601,NULL,214,Asset,YEND,NULL
1602,NULL,2133,Liability,RCR,NULL
1602,NULL,2133,Liability,RIN,NULL
1602,NULL,2133,Liability,XRCR,NULL
1602,NULL,2133,Liability,XRIN,NULL
1603,NULL,2131-00,Asset,CADJ,NULL
1603,NULL,2131-00,Asset,CLH,NULL
1603,NULL,2131-00,Asset,IV,NULL
1603,NULL,2131-00,Asset,JOV,NULL
1603,NULL,2131-00,Asset,OUPA,NULL
1603,NULL,2131-00,Asset,RCR,NULL
1603,NULL,2131-00,Asset,RDCS,NULL
1603,NULL,2131-00,Asset,RIN,NULL
1603,NULL,2131-00,Asset,XOIP,NULL
1603,NULL,2131-00,Asset,XOIR,NULL
1603,NULL,2131-00,Asset,XRCR,NULL
1603,NULL,2131-00,Asset,XRIN,NULL
1604,NULL,212,Asset,CADJ,NULL
1604,NULL,212,Asset,CLH,NULL
1604,NULL,212,Asset,IV,NULL
1604,NULL,212,Asset,JOE,NULL
1604,NULL,212,Asset,JOV,NULL
1604,NULL,212,Asset,OUPA,NULL
1604,NULL,212,Asset,RCR,NULL
1604,NULL,212,Asset,RDCS,NULL
1604,NULL,212,Asset,RIN,NULL
1604,NULL,212,Asset,RRD,NULL
