id,GL,BR,Statutory_GL,Statutory_Type,Transaction_Types,headers
588,4481,NULL,704-02,Revenue,"[ICR, INV, XICR, XINV]",[]
589,4490,NULL,628-03,Expense,"[B2BT, CADJ, CLH, DEP, ES, ICR, INV, IV, JOE, JOV, OUPA, PMT, PRO, RCR, RDCS, RIN, RRD, XICR, XINV, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]","[RIN/XRCR, RCR/XRIN, INV/XINV, ICR/XICR]"
590,4491,NULL,628-02,Expense,"[B2BT, CADJ, CLH, IV, JOE, JOV, OUPA, PMT, RCR, RDCS, RIN, RRD, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]",[]
591,4492,NULL,628-03,Expense,"[B2BT, CADJ, CLH, DEP, ES, ICR, INV, IV, JOE, JOV, OUPA, PMT, PRO, RCR, RDCS, RIN, RRD, XICR, XINV, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]","[RIN/XRCR, RCR/XRIN, INV/XINV, ICR/XICR]"
592,4493,NULL,628-03,Expense,"[B2BT, CADJ, CLH, DEP, ES, ICR, INV, IV, JOE, JOV, OUPA, PMT, PRO, RCR, RDCS, RIN, RRD, XICR, XINV, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]","[RIN/XRCR, RCR/XRIN, INV/XINV, ICR/XICR]"
593,4494,NULL,628-03,Expense,"[B2BT, CADJ, CLH, DEP, ES, ICR, INV, IV, JOE, JOV, OUPA, PMT, PRO, RCR, RDCS, RIN, RRD, XICR, XINV, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]","[RIN/XRCR, RCR/XRIN, INV/XINV, ICR/XICR]"
594,4495,NULL,628-03,Expense,"[B2BT, CADJ, CLH, DEP, ES, ICR, INV, IV, JOE, JOV, OUPA, PMT, PRO, RCR, RDCS, RIN, RRD, XICR, XINV, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]","[RIN/XRCR, RCR/XRIN, INV/XINV, ICR/XICR]"
595,4496,NULL,628-03,Expense,"[B2BT, CADJ, CLH, DEP, ES, ICR, INV, IV, JOE, JOV, OUPA, PMT, PRO, RCR, RDCS, RIN, RRD, XICR, XINV, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]","[RIN/XRCR, RCR/XRIN, INV/XINV, ICR/XICR]"
596,4499,NULL,628-03,Expense,"[B2BT, CADJ, CLH, DEP, ES, ICR, INV, IV, JOE, JOV, OUPA, PMT, PRO, RCR, RDCS, RIN, RRD, XICR, XINV, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]","[RIN/XRCR, RCR/XRIN, INV/XINV, ICR/XICR]"
597,4505,NULL,628-11,Expense,"[CADJ, CLH, IV, JOV, OUPA, RCR, RDCS, RIN, XOIP, XOIR, XRCR, XRIN]",[]
598,4505,NULL,704-11,Revenue,"[ICR, INV, XICR, XINV]",[]
599,4506,NULL,628-11,Expense,"[CADJ, CLH, IV, JOV, OUPA, RDCS, XOIP, XOIR]",[]
600,4506,NULL,704-11,Revenue,"[ICR, INV, XICR, XINV]",[]
